brand,name,price,old_price,sizes
Asics,Кроссовки женские ASICS Gel-Nimbus 28 Black/Graphite Grey,20980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '40(1/2)', '41(1/2)', '42', '42(1/2)']"
Altra,Кроссовки мужские Altra Experience Wild 3+ Black/Orange,19990,,"['41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48', '49']"
Hoka,Кроссовки женские Hoka Speedgoat 6 Gtx Белый/Серый/Голубой,14742,24570.0,"['40', '41(1/3)', '42', '42(2/3)']"
Altra,Кроссовки женские Altra Lone Peak 9+ Blue/Lime,19990,,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '41', '42', '42(1/2)']"
Asics,Кроссовки женские ASICS Trabuco 14 Amethyst/Cobalt Burst,16980,,"['38', '39(1/2)', '40', '40(1/2)']"
Altra,Кроссовки мужские Altra Fwd Via 2 White/Coral,23190,,"['42', '42(1/2)', '43', '45', '46', '46(1/2)', '47']"
Salomon,Кроссовки Salomon Spikecross 6 Gtx Cow Hide/Black/Coral,14988,24980.0,"['43(1/3)', '44', '44(2/3)', '45(1/3)', '46', '46(2/3)', '47(1/3)', '48']"
Altra,Кроссовки женские Altra Torin 8 Gtx Black/Black,13194,21990.0,"['37(1/2)', '38', '38(1/2)', '39']"
Nike,Кроссовки мужские Nike Air Zoom Alphafly Next% 3 Laser Orange/Indigo Burst-Citron Pulse,44890,,"['42', '42(1/2)', '43', '44', '44(1/2)', '45', '45(1/2)', '46', '47']"
Nike,Кроссовки женские Nike Air Zoom Alphafly Next% 3 Laser Orange/Indigo Burst-Citron Pulse,44890,,"['39', '40(1/2)', '41', '42']"
Asics,Кроссовки мужские ASICS Gel-Nimbus 28 Black/Graphite Grey,20980,,"['40(1/2)', '41(1/2)', '42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46', '46(1/2)', '47']"
Altra,Кроссовки женские Altra Experience Wild 3+ Gray,19990,,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '42', '42(1/2)']"
Altra,Кроссовки мужские Altra Timp 5 Hiker Gtx Black,14394,23990.0,"['42(1/2)', '43', '44', '44(1/2)', '45', '46']"
Nike,Кроссовки мужские Nike Reactx Pegasus Trail 5 Gtx Midnight Navy/Hyper Pink/Vivid Purple/Glacier Blue,23790,,"['42', '42(1/2)', '43', '44', '44(1/2)', '45', '45(1/2)']"
Garmont,Ботинки мужские Garmont Tower 3.0 Extreme Gtx Black/Garmont Red,29988,49980.0,"['41(1/2)', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46']"
Mizuno,Кроссовки мужские Mizuno Wave Mujin 11 Sunburn/Autumn Sunset/Granite Green,17490,,"['40(1/2)', '41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48(1/2)']"
Altra,Кроссовки женские Altra Mont Blanc Carbon White/Lime,16500,27500.0,"['37', '37(1/2)', '38']"
Salomon,Кроссовки женские Salomon Speedcross 6 Gtx Bog/Dawn Pink/Acid Lime,21980,,"['38', '38(2/3)', '39(1/3)', '40', '40(2/3)', '41(1/3)']"
Salomon,Кроссовки Salomon Winter Cross Spike Black/Neon Flame/Safety Yellow,18588,30980.0,"['42', '43(1/3)', '44', '44(2/3)', '45(1/3)']"
Scarpa,Ботинки мужские Scarpa ZG Trk Gtx Cypress/Sulphur,28990,,"['42', '42(1/2)', '43', '43(1/2)', '44', '44(1/2)', '45', '46']"
Scarpa,Ботинки мужские Scarpa Mojito Fossil,18990,,"['38', '38(1/2)', '39', '39(1/2)', '40', '40(1/2)', '41', '41(1/2)', '42', '42(1/2)', '43', '43(1/2)', '44', '44(1/2)', '45', '45(1/2)', '46', '46(1/2)', '47', '48']"
Kayland,Ботинки Kayland Pamir Gtx Brown,14200,35500.0,"['38', '38(1/2)', '40', '43', '43(1/2)', '45']"
